2026-04-15 20:47:22,370 run_crossover INFO === claude35-sweagent ===
2026-04-15 20:47:29,436 inspect_degradation.datasets.swe_smith INFO swe-smith: loaded 50 traces (1 distinct models)
2026-04-15 20:47:29,436 run_crossover INFO [claude35-sweagent] loaded 50 traces, 1060 steps
2026-04-15 20:47:29,440 run_crossover INFO [claude35-sweagent] grading 50 pending (0 cached)
2026-04-15 20:55:29,674 run_crossover INFO [claude35-sweagent] 1/50 done (7 steps, 0 errors)
2026-04-15 20:55:35,663 run_crossover INFO [claude35-sweagent] 2/50 done (6 steps, 0 errors)
2026-04-15 20:56:41,066 run_crossover INFO [claude35-sweagent] 3/50 done (6 steps, 0 errors)
2026-04-15 20:56:55,392 run_crossover INFO [claude35-sweagent] 4/50 done (9 steps, 0 errors)
2026-04-15 20:57:29,869 run_crossover INFO [claude35-sweagent] 5/50 done (11 steps, 0 errors)
2026-04-15 20:57:46,789 run_crossover INFO [claude35-sweagent] 6/50 done (9 steps, 0 errors)
2026-04-15 20:58:40,332 run_crossover INFO [claude35-sweagent] 7/50 done (10 steps, 0 errors)
2026-04-15 21:00:09,384 run_crossover INFO [claude35-sweagent] 8/50 done (10 steps, 0 errors)
2026-04-15 21:00:39,551 run_crossover INFO [claude35-sweagent] 9/50 done (9 steps, 0 errors)
2026-04-15 21:01:44,663 run_crossover INFO [claude35-sweagent] 10/50 done (12 steps, 0 errors)
2026-04-15 21:01:48,853 run_crossover INFO [claude35-sweagent] 11/50 done (8 steps, 0 errors)
2026-04-15 21:02:14,272 run_crossover INFO [claude35-sweagent] 12/50 done (12 steps, 0 errors)
2026-04-15 21:03:20,749 run_crossover INFO [claude35-sweagent] 13/50 done (12 steps, 0 errors)
2026-04-15 21:03:36,124 run_crossover INFO [claude35-sweagent] 14/50 done (9 steps, 0 errors)
2026-04-15 21:04:16,317 run_crossover INFO [claude35-sweagent] 15/50 done (13 steps, 0 errors)
2026-04-15 21:04:28,765 run_crossover INFO [claude35-sweagent] 16/50 done (12 steps, 0 errors)
2026-04-15 21:04:31,257 run_crossover INFO [claude35-sweagent] 17/50 done (12 steps, 0 errors)
2026-04-15 21:05:35,943 run_crossover INFO [claude35-sweagent] 18/50 done (15 steps, 0 errors)
2026-04-15 21:06:46,160 run_crossover INFO [claude35-sweagent] 19/50 done (15 steps, 0 errors)
2026-04-15 21:06:49,240 run_crossover INFO [claude35-sweagent] 20/50 done (19 steps, 0 errors)
2026-04-15 21:07:06,470 run_crossover INFO [claude35-sweagent] 21/50 done (14 steps, 0 errors)
2026-04-15 21:07:10,498 run_crossover INFO [claude35-sweagent] 22/50 done (17 steps, 0 errors)
