2026-04-15 15:42:11,368 run_autoswe INFO loading Auto-SWE traces from JSONL (stages=None, limit=50)
2026-04-15 15:42:11,453 inspect_degradation.datasets.autoswe INFO autoswe-jsonl: loaded 50 traces
2026-04-15 15:42:11,453 run_autoswe INFO loaded 50 traces, 1177 total steps, models: {'z-ai/glm-5', 'Qwen3-Coder-REAP-363B-A35B-UD-Q4_K_XL-00001-of-00005.gguf', 'Qwen3.5-122B-A10B', 'minimax/minimax-m2.7', 'google/gemini-3.1-pro-preview', 'Qwen3-Coder-Next'}
2026-04-15 15:42:11,459 run_autoswe INFO 0 traces already cached
2026-04-15 15:42:11,460 run_autoswe INFO grading 50 pending traces
2026-04-15 15:48:45,284 run_autoswe INFO [minimax] 1/50 done (5 steps, [review:general] minimax/minimax-m2.7, 0 errors)
2026-04-15 15:50:00,127 run_autoswe INFO [minimax] 2/50 done (5 steps, [scout] Qwen3.5-122B-A10B, 0 errors)
2026-04-15 15:52:52,622 run_autoswe INFO [minimax] 3/50 done (6 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 15:53:24,378 run_autoswe INFO [minimax] 4/50 done (7 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 15:54:32,364 run_autoswe INFO [minimax] 5/50 done (8 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 15:55:43,199 run_autoswe INFO [minimax] 6/50 done (9 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 15:56:10,669 run_autoswe INFO [minimax] 7/50 done (7 steps, [review:general] Qwen3.5-122B-A10B, 0 errors)
2026-04-15 15:56:31,882 run_autoswe INFO [minimax] 8/50 done (9 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 15:56:47,452 run_autoswe INFO [minimax] 9/50 done (9 steps, [test_write] Qwen3-Coder-Next, 0 errors)
2026-04-15 15:59:16,374 run_autoswe INFO [minimax] 10/50 done (10 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 15:59:33,964 run_autoswe INFO [minimax] 11/50 done (8 steps, [test_write] Qwen3-Coder-REAP-363B-A35B-UD-Q4_K_XL-00001-of-00005.gguf, 0 errors)
2026-04-15 16:01:42,790 run_autoswe INFO [minimax] 12/50 done (11 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:02:01,434 run_autoswe INFO [minimax] 13/50 done (11 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:02:17,127 run_autoswe INFO [minimax] 14/50 done (12 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:02:17,130 run_autoswe INFO [minimax] 15/50 done (12 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:03:08,357 run_autoswe INFO [minimax] 16/50 done (10 steps, [implement] Qwen3-Coder-REAP-363B-A35B-UD-Q4_K_XL-00001-of-00005.gguf, 0 errors)
2026-04-15 16:04:15,147 run_autoswe INFO [minimax] 17/50 done (13 steps, [implement] Qwen3.5-122B-A10B, 0 errors)
2026-04-15 16:04:37,997 run_autoswe INFO [minimax] 18/50 done (13 steps, [scout] Qwen3-Coder-REAP-363B-A35B-UD-Q4_K_XL-00001-of-00005.gguf, 0 errors)
2026-04-15 16:05:08,935 run_autoswe INFO [minimax] 19/50 done (11 steps, [test_write] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:05:46,838 run_autoswe INFO [minimax] 20/50 done (11 steps, [test_write] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:06:36,545 run_autoswe INFO [minimax] 21/50 done (15 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:06:41,823 run_autoswe INFO [minimax] 22/50 done (16 steps, [scout] Qwen3-Coder-REAP-363B-A35B-UD-Q4_K_XL-00001-of-00005.gguf, 0 errors)
2026-04-15 16:07:18,996 run_autoswe INFO [minimax] 23/50 done (15 steps, [test_write] Qwen3-Coder-REAP-363B-A35B-UD-Q4_K_XL-00001-of-00005.gguf, 0 errors)
2026-04-15 16:07:35,569 run_autoswe INFO [minimax] 24/50 done (11 steps, [scout] Qwen3.5-122B-A10B, 0 errors)
2026-04-15 16:07:55,264 run_autoswe INFO [minimax] 25/50 done (14 steps, [test_write] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:11:49,728 run_autoswe INFO [minimax] 26/50 done (17 steps, [implement] z-ai/glm-5, 0 errors)
2026-04-15 16:11:51,002 run_autoswe INFO [minimax] 27/50 done (15 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:12:12,787 run_autoswe INFO [minimax] 28/50 done (20 steps, [test_write] Qwen3.5-122B-A10B, 0 errors)
2026-04-15 16:14:42,186 run_autoswe INFO [minimax] 29/50 done (15 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:15:06,582 run_autoswe INFO [minimax] 30/50 done (15 steps, [implement] Qwen3.5-122B-A10B, 0 errors)
2026-04-15 16:16:59,201 run_autoswe INFO [minimax] 31/50 done (20 steps, [implement] minimax/minimax-m2.7, 0 errors)
2026-04-15 16:18:07,193 run_autoswe INFO [minimax] 32/50 done (30 steps, [review:testing] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:21:38,655 run_autoswe INFO [minimax] 33/50 done (36 steps, [implement] Qwen3.5-122B-A10B, 0 errors)
2026-04-15 16:23:12,308 run_autoswe INFO [minimax] 34/50 done (34 steps, [test_write] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:24:38,855 run_autoswe INFO [minimax] 35/50 done (40 steps, [scout] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:24:54,754 run_autoswe INFO [minimax] 36/50 done (40 steps, [test_write] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:25:42,422 run_autoswe INFO [minimax] 37/50 done (23 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:25:52,643 run_autoswe INFO [minimax] 38/50 done (40 steps, [test_write] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:26:22,426 run_autoswe INFO [minimax] 39/50 done (54 steps, [implement] Qwen3.5-122B-A10B, 0 errors)
2026-04-15 16:28:05,702 run_autoswe INFO [minimax] 40/50 done (30 steps, [review:error_handling] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:28:31,745 run_autoswe INFO [minimax] 41/50 done (30 steps, [review:security] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:28:47,023 run_autoswe INFO [minimax] 42/50 done (32 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:29:58,523 run_autoswe INFO [minimax] 43/50 done (23 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:30:52,755 run_autoswe INFO [minimax] 44/50 done (30 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:32:03,026 run_autoswe INFO [minimax] 45/50 done (99 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:34:04,516 run_autoswe INFO [minimax] 46/50 done (30 steps, [review:testing] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:34:06,171 run_autoswe INFO [minimax] 47/50 done (28 steps, [implement] Qwen3-Coder-REAP-363B-A35B-UD-Q4_K_XL-00001-of-00005.gguf, 0 errors)
2026-04-15 16:47:56,141 run_autoswe INFO [minimax] 48/50 done (50 steps, [implement] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:56:00,616 run_autoswe INFO [minimax] 49/50 done (32 steps, [scout] google/gemini-3.1-pro-preview, 0 errors)
2026-04-15 16:58:27,361 run_autoswe INFO [minimax] 50/50 done (136 steps, [test_write] Qwen3-Coder-Next, 0 errors)
2026-04-15 16:58:27,361 run_autoswe INFO done: 50 graded, 0 errors
