2026-04-15 15:42:11,388 run_openhands INFO loading OpenHands traces (limit=50)
2026-04-15 15:42:17,855 inspect_degradation.datasets.openhands INFO openhands: loaded 50 traces (1 distinct models)
2026-04-15 15:42:17,856 run_openhands INFO loaded 50 traces, 1126 total steps
2026-04-15 15:42:17,860 run_openhands INFO 0 traces already cached
2026-04-15 15:42:17,860 run_openhands INFO grading 50 pending traces
2026-04-15 15:54:42,847 openai._base_client INFO Retrying request to /chat/completions in 0.422225 seconds
2026-04-15 15:57:00,831 run_openhands INFO [minimax] 1/50 done (12 steps, 0 errors)
2026-04-15 15:58:44,852 run_openhands INFO [minimax] 2/50 done (12 steps, 0 errors)
2026-04-15 15:59:14,151 run_openhands INFO [minimax] 3/50 done (13 steps, 0 errors)
2026-04-15 15:59:45,559 run_openhands INFO [minimax] 4/50 done (10 steps, 0 errors)
2026-04-15 16:01:34,626 run_openhands INFO [minimax] 5/50 done (14 steps, 0 errors)
2026-04-15 16:02:00,354 run_openhands INFO [minimax] 6/50 done (12 steps, 0 errors)
2026-04-15 16:04:13,032 run_openhands INFO [minimax] 7/50 done (11 steps, 0 errors)
2026-04-15 16:04:29,010 run_openhands INFO [minimax] 8/50 done (15 steps, 0 errors)
2026-04-15 16:04:55,810 run_openhands INFO [minimax] 9/50 done (13 steps, 0 errors)
2026-04-15 16:05:02,458 openai._base_client INFO Retrying request to /chat/completions in 0.491299 seconds
2026-04-15 16:06:43,206 run_openhands INFO [minimax] 10/50 done (15 steps, 0 errors)
2026-04-15 16:08:32,498 run_openhands INFO [minimax] 11/50 done (15 steps, 0 errors)
2026-04-15 16:10:06,868 run_openhands INFO [minimax] 12/50 done (17 steps, 0 errors)
2026-04-15 16:11:10,692 run_openhands INFO [minimax] 13/50 done (14 steps, 0 errors)
2026-04-15 16:11:18,154 run_openhands INFO [minimax] 14/50 done (14 steps, 0 errors)
2026-04-15 16:13:28,739 run_openhands INFO [minimax] 15/50 done (21 steps, 0 errors)
2026-04-15 16:13:34,170 run_openhands INFO [minimax] 16/50 done (14 steps, 0 errors)
2026-04-15 16:15:16,228 run_openhands INFO [minimax] 17/50 done (21 steps, 0 errors)
2026-04-15 16:16:18,698 run_openhands INFO [minimax] 18/50 done (18 steps, 0 errors)
2026-04-15 16:17:26,733 run_openhands INFO [minimax] 19/50 done (18 steps, 0 errors)
2026-04-15 16:17:45,602 run_openhands INFO [minimax] 20/50 done (18 steps, 0 errors)
2026-04-15 16:18:02,499 run_openhands INFO [minimax] 21/50 done (20 steps, 0 errors)
2026-04-15 16:20:27,699 run_openhands INFO [minimax] 22/50 done (28 steps, 0 errors)
2026-04-15 16:20:28,185 run_openhands INFO [minimax] 23/50 done (25 steps, 0 errors)
2026-04-15 16:20:58,909 run_openhands INFO [minimax] 24/50 done (29 steps, 0 errors)
2026-04-15 16:21:26,416 run_openhands INFO [minimax] 25/50 done (30 steps, 0 errors)
2026-04-15 16:21:31,882 run_openhands INFO [minimax] 26/50 done (18 steps, 0 errors)
2026-04-15 16:21:38,907 run_openhands INFO [minimax] 27/50 done (30 steps, 0 errors)
2026-04-15 16:21:52,488 run_openhands INFO [minimax] 28/50 done (30 steps, 0 errors)
2026-04-15 16:22:27,231 run_openhands INFO [minimax] 29/50 done (30 steps, 0 errors)
2026-04-15 16:22:30,488 run_openhands INFO [minimax] 30/50 done (30 steps, 0 errors)
2026-04-15 16:22:36,384 run_openhands INFO [minimax] 31/50 done (30 steps, 0 errors)
2026-04-15 16:22:37,110 run_openhands INFO [minimax] 32/50 done (30 steps, 0 errors)
2026-04-15 16:22:42,723 run_openhands INFO [minimax] 33/50 done (30 steps, 0 errors)
2026-04-15 16:22:44,263 run_openhands INFO [minimax] 34/50 done (28 steps, 0 errors)
2026-04-15 16:23:21,255 run_openhands INFO [minimax] 35/50 done (30 steps, 0 errors)
2026-04-15 16:23:41,579 run_openhands INFO [minimax] 36/50 done (25 steps, 0 errors)
2026-04-15 16:23:50,733 run_openhands INFO [minimax] 37/50 done (30 steps, 0 errors)
2026-04-15 16:24:11,224 run_openhands INFO [minimax] 38/50 done (28 steps, 0 errors)
2026-04-15 16:24:26,407 run_openhands INFO [minimax] 39/50 done (23 steps, 0 errors)
2026-04-15 16:24:36,251 run_openhands INFO [minimax] 40/50 done (30 steps, 0 errors)
2026-04-15 16:25:09,477 run_openhands INFO [minimax] 41/50 done (29 steps, 0 errors)
2026-04-15 16:25:32,880 run_openhands INFO [minimax] 42/50 done (29 steps, 0 errors)
2026-04-15 16:28:29,054 run_openhands INFO [minimax] 43/50 done (28 steps, 0 errors)
2026-04-15 16:29:21,763 run_openhands INFO [minimax] 44/50 done (20 steps, 0 errors)
2026-04-15 16:29:43,021 run_openhands INFO [minimax] 45/50 done (29 steps, 0 errors)
2026-04-15 16:29:57,193 run_openhands INFO [minimax] 46/50 done (23 steps, 0 errors)
2026-04-15 16:31:31,934 run_openhands INFO [minimax] 47/50 done (30 steps, 0 errors)
2026-04-15 16:36:00,273 run_openhands INFO [minimax] 48/50 done (27 steps, 0 errors)
2026-04-15 16:38:14,869 run_openhands INFO [minimax] 49/50 done (30 steps, 0 errors)
2026-04-15 16:40:46,348 run_openhands INFO [minimax] 50/50 done (30 steps, 0 errors)
2026-04-15 16:40:46,348 run_openhands INFO done: 50 graded, 0 errors
